data: 15
 0  4 73  6 17 19 16 56 68 86 99 49 96 52 34 
 5  0 89  8 50 85 95 95  3 85 21 63 64 82 14 
 8 51  0 44 96 61 44 81 17 25 69 68 73 44 93 
14 48 23  0  1 68 53 91 55  5 16 88 81 91 55 
17 63 42 50  0 98 14 76 68 35 11 61 46 64 32 
41 85 44 78  7  0 70 58 78 30 37 44 33 57 35 
29 86 33 83  4 74  0 99 45 96 33 54 91 49 31 
21 21 98 78 21 18 24  0 17 95 31  9 47 53 51 
40 13 22 79  5 82 30 91  0 53  9  5 33 90 50 
92 98 64 85 94 28 72 46 56  0 32  1 49 95 72 
68 87 40 34  5 62 63 31 49  4  0 35 17 80 98 
52 62 16 78 88 63 22 27 14 50  8  0 77 79 76 
 6 56 11 71  3 65 16 98 77 70 88 15  0 86 79 
41 20 28  5 59 34 51 79 96 18 15 95  5  0 80 
36 85 77 23  7 56 12 53 81 55 57  9 70 63  0 
