data: 16
 0 99  6 61 44 81 89 79 85 50 76 62 36 39  8  1 
27  0  9 12 97  5 91 24 10 13 24 29 40 41 13 25 
33 33  0 90 71  7 58 25 12 48 71 36 97 70 22 57 
70 78 86  0 14 76  2 44  2 61 97  7 42 35 29  7 
42 14 29 92  0 39 15 81 56 55 13 97  4 85 33 97 
65 88 36 77 90  0 16 37 89 98 47 76 56 78  7 59 
26 85 64 53 66 73  0  5 36  6 16 71 24 60 93 87 
69 41  2 64 23 32 98  0 21  8 95 77 36 35 60 27 
75 84 40 96  6  5 39  4  0 37 10 18  2 56 89 40 
21 26 48 43 69 95 38  8 22  0 88  6  5 74 33 93 
62 40 40 93 72 12 76 17 20 81  0 46 50 33 16 16 
15 18 60  5 52 31 33 76 77 87 89  0 55 44 85 86 
15 74 52 65 83 81 45 44  8 54 15  6  0 48 96 11 
15 88 39 90 65 14  6 99 55 98 76 89 54  0 91 84 
38  7 88 71  8 84 24  7 94 77 91 94 16 41  0 72 
65  3  2 80 82 16  6 86 81 74 49 39 30 82 46  0 
