data: 20
 0 79 39 75 41 32 76 68 46  1 91  3 93 86 98 72 58 63  5 62 
54  0 63  5  7 84 74 91 58 50 29 20 85 84 58 12 80 20 24 21 
81 67  0  4  6  1 25  3 79 85 51 25 86 61 89 69 58 76 30 13 
43 30 80  0 33 82 97 73 90 63 27 62  1 19 48 32 72 47 43 65 
48 61 39 73  0 29  3 61 27 49 24 28 57 54 15  7 15 37 37 67 
95 50 56 39 64  0 87 62 10 18 96 46 85 50 18 93 83 67 80 61 
52 91 98 85 53 49  0 64 42 14 73 60 96 53 94 52 92 32  7  7 
 9 79 51 83 86 10 38  0 52 92 13 84 45 76 24 75 62 36 76 53 
95 56 33 46 63 46 37 37  0 49 18 35 35 10 82 40 12 87 79 14 
42 30 10 84 88 80 76 29 74  0 69 73 18 22 47 70 34 91 11 71 
 7 70 72 50  9 69 96 39 95 33  0  7 25 85  6 69 29 72 56 27 
50 53 72 57 21 42 72 26  8 49 47  0 83 61 25  1 37 10 10 44 
34 77 35 45 45 70 43 89 84  9 90 91  0 96 16 93 98 54 78 45 
60 71 14 40 23 75 57 80 77 89 60 55 96  0 94 44  8 80 92 30 
37 50 10 82  5 62 48  8 98 89 68 99 40  8  0 58 91 66 66 25 
70 50  1 25 23 90 74 50 90 13 41 26 48 41 71  0 50 38 32 69 
38 69 46 13 52 92 49 93 32 79 68 19 15 28 10 42  0 99 48 49 
40 45 87 59 31 26 56 37  1 15 52 92 16  5 45 43 78  0 26 44 
50 52 98 84 88 58 84 48 56  1 98 78 67 68 67 54 86 37  0 51 
66 66 16 36 88  9 16  5 65 38 49 58 20 22 12 89 28 63 32  0 
