data: 100 100
68 20 
38 86 
88 46 
14 98 
86 90 
11 51 
49 72 
85 55 
 9 86 
76 64 
69  3 
30 69 
98 78 
52 91 
74 99 
 1 39 
72  7 
20 24 
46 30 
33 64 
71 27 
60 93 
36 82 
89 63 
18 23 
44 52 
61 70 
19 26 
57 95 
36 22 
79  5 
58 49 
59 12 
15 29 
34 32 
30 82 
 6 52 
19 11 
74 83 
 2 90 
45 16 
48  5 
47 44 
36 42 
34 24 
31 78 
77 57 
88 36 
37 59 
91 82 
 2 45 
11 34 
14  6 
70 56 
 7 57 
10 54 
80 83 
13 87 
12 54 
96 19 
38  8 
71 90 
37 87 
83 24 
83 59 
44 33 
63 47 
97 38 
95 31 
 2 21 
42 84 
16  4 
87 34 
91  6 
 1 28 
32  4 
46 71 
15 29 
 2 21 
61  2 
42 20 
79 48 
97  9 
33 64 
 3 55 
31 45 
52 41 
36 49 
87 65 
51 12 
32 81 
93 82 
98 43 
26  2 
77 77 
54 90 
22 39 
22 55 
60  2 
75 21 

data: 110 110
35 75 
77 26 
33 72 
31 27 
42 15 
98 58 
47 45 
19 90 
37 30 
74 92 
11 73 
61 77 
45  2 
74 42 
26 68 
47 76 
 6 83 
39 29 
19  7 
47 56 
91 21 
68 21 
64 56 
47 23 
96 92 
 6 91 
47 86 
84 33 
92 85 
13 33 
36 38 
31  3 
86 75 
78 23 
78 92 
66 84 
15 65 
51 96 
52 85 
35  8 
58 97 
10 94 
73 32 
53 98 
73 60 
21 61 
30 94 
11  1 
65 34 
75 24 
27 33 
40 22 
84 66 
 4 79 
69 51 
75  3 
17 50 
49 13 
65 90 
47 39 
62 57 
33  7 
34 17 
11 69 
50 76 
77 40 
94 68 
82 61 
83 70 
40 45 
 8 98 
22 58 
99 85 
58 41 
 6 68 
21 93 
56 56 
49 47 
91 31 
24  9 
69 62 
12 71 
27 92 
82  7 
17 80 
44 71 
64 33 
 5 14 
34 89 
47 86 
 5 29 
91  9 
74 77 
47 62 
67  7 
12  4 
71  2 
57 18 
88 29 
87 37 
16 40 
81 26 
65 94 
23 10 
75 90 
81 40 
87 73 
51 18 
50 85 
62 10 

data: 120 120
 2 31 
13 65 
77 98 
48 55 
97 39 
90 61 
41 22 
56 26 
69 69 
72 17 
48 44 
92 85 
95 29 
96 92 
77 37 
93 18 
43 60 
62 30 
87 79 
61 52 
16 15 
80 44 
92 30 
 5 78 
75 58 
71 35 
29 98 
50 40 
32 75 
89 48 
88 71 
 4 56 
14 43 
46 17 
23 49 
 3 90 
28 82 
87 82 
26 91 
68 25 
67 83 
75 88 
99 24 
70 59 
13 92 
 7 40 
82 32 
29 65 
93 13 
59 61 
56 17 
73 10 
51 23 
37  3 
32 41 
37 55 
53 17 
85 34 
19 27 
 2 59 
86 11 
90 19 
31 46 
34 15 
17 93 
11 47 
30 93 
71 84 
67  6 
74 73 
73 13 
32 13 
12 37 
29 76 
11  9 
14 83 
70 45 
87 69 
85 41 
86 12 
 1  9 
40 98 
56 72 
32 45 
31  6 
61 97 
80 25 
73 78 
80 10 
43 61 
77 72 
89 35 
54 12 
64 23 
53 36 
73 21 
21 68 
92 76 
17 52 
95 57 
61 78 
71 33 
47 95 
25 82 
75 95 
87 78 
82  3 
45 44 
88 20 
20 53 
25 50 
13 32 
24 81 
36  2 
59 22 
28 26 
46 84 
 7 79 
47 39 
49  1 

data: 130 130
68 86 
52  5 
18 25 
65 87 
53 63 
78 68 
35 94 
89 61 
 2 13 
66 41 
89 15 
28 93 
42 52 
23 43 
29  6 
40 55 
76 37 
81 31 
60 56 
75 44 
40  9 
88 67 
21 99 
62 38 
54 28 
33 74 
15 11 
16 47 
67 65 
66 59 
45  9 
72 10 
41 11 
10 11 
67 10 
43 92 
41 99 
20 68 
99 93 
 2 38 
80 65 
37 78 
26 12 
83 20 
48 29 
96 23 
35 69 
51 34 
22 91 
39  3 
81  5 
 3 93 
22 79 
74 30 
94 35 
 3  4 
93 83 
22 59 
72 63 
52 79 
 7 60 
48 31 
28 75 
57 60 
87 15 
48 58 
61 19 
60  8 
55 45 
13 97 
43 27 
38 63 
24 92 
99 16 
16 53 
 3 73 
80 30 
22 87 
75 51 
45 19 
32 55 
72 22 
85 56 
81 87 
45 31 
74 24 
96 17 
46 43 
27 34 
39 36 
54 16 
87 57 
30 42 
85 79 
43 69 
35 34 
70 35 
28 39 
45 79 
 4 73 
 7 21 
61 44 
33  1 
27 59 
71  5 
93 17 
77 36 
39 70 
23 54 
73 96 
11 39 
17 20 
35 12 
95 36 
55 85 
36 10 
70 40 
46 88 
48 11 
62 26 
51 33 
73 28 
24 29 
37 48 
62 57 
98 12 
88 26 
50 80 
67  3 
21 48 

data: 140 140
35 42 
87 40 
62 51 
82 16 
 9 87 
70 75 
29 67 
27 96 
30 52 
64 65 
27 85 
59  2 
92 75 
45 93 
84 74 
86 96 
14 14 
 1 32 
29 33 
85 36 
64  7 
 1 90 
49 73 
20 97 
33 93 
94 14 
96 27 
81 54 
 3 55 
39 74 
97 42 
45 63 
68 74 
73  5 
 8 66 
79 94 
54 17 
56 54 
77 99 
31 55 
93 47 
98 72 
52 99 
 1 80 
87 61 
86  2 
87  7 
73 98 
46 66 
23 40 
 7 92 
36 81 
88 36 
 8 53 
57 29 
64 56 
30 50 
58 84 
26 95 
 3 99 
31 14 
10 47 
25  5 
80  6 
54 32 
81 65 
92 40 
49 31 
43 80 
51 26 
 9 37 
44 18 
36 44 
66 51 
25 93 
91 63 
94 19 
56  6 
69 61 
 8 26 
63 97 
 1 49 
11 40 
27 30 
59 56 
87 50 
 9  9 
15  8 
73 54 
35 11 
27 59 
85 83 
 6 76 
 3 40 
33 98 
96 47 
24 97 
63 97 
73  7 
12 93 
52 63 
51 51 
15  2 
29 32 
67 10 
95 51 
76 65 
33  1 
57 88 
31 36 
 1 28 
21  4 
42 46 
51 74 
51 53 
44 93 
98 91 
81 93 
49 86 
75 51 
23 20 
 3  2 
84 71 
84 99 
24 43 
48 39 
30 65 
74 72 
12 61 
77 72 
