data: 18
 0 91 74 68 90  7 33 26 16 73 34 84 15 13 55 84 92 94 
 7  0 26 19 75 66 58  1 49 62 47 95 23 72 61 11 74 53 
26 65  0 25 96  8 75 20  2 83 73 30 27 30 19 75 50 19 
95  5 32  0 14 10 92 82  7 16 87 48 63 33  2 51 19 22 
80 37 82 15  0 68 38 79  5 25 87 75 16 90 59 49 58 26 
83 52  7 64  9  0 68 61 98 58 29 12 13 24 50 75  2 17 
19 39 45 19 77 97  0 31 55 97 89 99 86  2 47 81 94 44 
25 93  9 47  7 76 51  0 17 30 16 86 58 64 57 16 68 12 
 6 18 43 31  9 42 73 44  0 79 56 88 83 53  5 73 27 46 
86 20 20 27  9 27  3 63 36  0 92 71 51 28 63  3 18 61 
45 80 69 78 35 36 33 55 15 87  0 30 66 46 97 18  7 84 
26  6 55 64 93 28 72  7 94 27 57  0 37 96 45 99  8 86 
42 85 66 58 52 75 30 23 79 74 80  1  0 15 85 45 37 69 
56 99 74 75 85 58 99 40 68 13 14 45 74  0 33 91 20 65 
81 89 31 97 52  2 28 79 31 77 64 16 31 20  0 16 90 75 
68 73 32 36 44 70 64 88 39 11 45 63 20 39 94  0  7 97 
71 50 18 66  9 78 11 92 39 86 47 97 23 41 53 14  0 87 
69 31 42 64 31 62 39 47 67 33 14  6 63 68 57 77 88  0 
