data: 13
 0 12  5 98 70 93 72 10 38 63 38 31 18 
78  0 17 78 21 10 27 57 81 12 60 33 37 
38 35  0 59 97  4 92 70 13  3 93 27 34 
25 84  9  0 60 85 96 96 50 85 49 36  8 
55 13 11 51  0 26 75 52 66 16 68 41 24 
64 79 36 79 23  0 21 22 78 62 24 49 65 
73 25 50 34  7 80  0 98  1 21 88  8 92 
11 82 97  2  1 58 24  0 91 66 20 44 30 
17 47 35 53 87 42 62 92  0 64 91 68 76 
81 66 89 74 23 70 75 46 77  0 21 75 90 
42 21 83 66 72 66 22 15 41 48  0 13 67 
84 95 40 10 61 56 22 29 51 76 37  0 79 
88 48 77 20 63 25 70 58 55 37 34  6  0 
