data: 17
 0 95 38 17 67 44 59  3 98 10 57 71 75 26 81 92 10 
58  0 77 14 10 83 45 34  9 88 97 93 68 18 98 45 22 
80 24  0 36 99 25 54 28 73 28 97 27 99 95 98 56  1 
 3 32 97  0 76 19 41  8 58 67 11 16 63 15 33 48 13 
57 47 15  2  0 46 97 58 18 27 83 88 33  7 10 76 51 
75 87 45 26 62  0 62 83 73 10 44 47 75 79  6 95 92 
39 64 45 90  7 44  0 99 69 51 73 69  4 97 37 13 44 
17  6  7 73 79 63 87  0 62 42 16 75 84 78 15 28 15 
75 10 34 41 79 36 29 28  0 24 95 37 39 19  8 24  4 
31 72 49 42 14 21 83 96 45  0  7 46 71 90 22 61 70 
45 66 69 52 81 20 39 62 41 33  0  6 51 77 56 10 59 
72 37 18 82 58 92 62 25 93 43 35  0 25 81 57 54 15 
54 77 97 17 34  1 38 95 57  9  5 43  0 40 71 24 55 
86  9  2  9 90 84 38 10  2  5 26 18 73  0 47 47 58 
75 65 82 71 35 94 48 78 40 65 57 33 86 52  0 36 88 
97 25 77  1 96 66 82 93  6 39 40 53 85 43 66  0 84 
97 27 15 83 92 92 62 51 45 22 27 63 87 87 38 94  0 
