data: 19
 0 83  7 24 18 69  3 45 29 37 15 93 54 99 25 80 75 27  8 
 1  0 24 71 87 82 92 10 27  5 23 24 46 73 95 64 82 53 90 
82 21  0 87 77 12  6 40 51 64 51  8 33 52 68 40 92 37 45 
96 20 61  0 58 93 72 60 67 78 53 46 59 23 42 90 28 63 75 
54  6 92 74  0 43 65 74 76 10 31 57 90 85  6 38 34 59 12 
18 93 51 18 15  0 31 82 83 55 60 96 89 64 78 21 82 81 22 
12 60 69 82 35 78  0 96 25 83 26 96 59 29 75 78 42 68 24 
39  6 41 56 59 82 83  0 99 12 95 46 12 90 25 78 69 43 64 
63 28 40 32 21 96 92 63  0 51 10 33 93 86 23 32 44 56 27 
11 12 90 17 32 87 47 98 89  0 55 91 83 14 58  3 42 92 61 
72  2 40 34 74 46 70 38 66 86  0 67 33 37 90 36 95 33 76 
21 40  2 37 94  7 30 85 27 61 92  0 64 51 40 50 58 76 63 
 6 32 66 64 60 65 92 48  6 92 99 51  0  9  2 31 79  8  9 
15  9 50 53 78 53 43 73 93 75 30 55 62  0 76 39 30 27 95 
90 50 34 80 64 66 66 45 69 57 36 84 16 70  0  9 17 11 97 
 3 75  5 33 22 45 35 76 41 98 73 65 76  5 61  0 95 29 69 
16 39 24 90 68 88 36 46 91 44 71 25 34 20 97 19  0 73 67 
91 21 77 45 10 55 86 18 28 61 93 21 74 10 62 33 47  0 41 
75  9 13 82 41 72 40 43 56 13 81 94 46 68 58 86 84 59  0 
