data: 14
 0  8 37 54 93 56 46 33 51 23 19 40 57 65 
60  0 61 57  7 88 69 90  4 81 57 29 98 99 
29 86  0 77  5 59  7 32 17 52 75 25 27 88 
71 52 89  0 70 88 14 23 54 80 73 34  8 83 
75  2 81  4  0 87 55 97 96 83 98 56 24 27 
 7 41 36 69 47  0 67  7 24 16 22 52 80 79 
65 18 72 25 21 71  0 96  6 92  1 85 79 10 
26 44 99 39 18 89 22  0 26 26 33 81 38 56 
65 88 93 97 94 62 12 68  0 18 44 77 77 30 
95 56 42 22 73 13 56 80 61  0 62 91 61 71 
50 92  7 68 40 38 53 55 26 49  0 67 58 85 
21 23 26 91 61 10 97 30 93 71 29  0 48 11 
37 95 72 97  4 94 80  4 66 33  3 52  0 81 
92 70 24 39 46 12 99 96 91 43 67  3  7  0 
